candidate_id,rank,score,reasoning
CAND_0000031,1,0.5785011665997523,"Brings 5.8 years of professional experience, with 5.8 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like sentence-transformers, embeddings, and retrieval with strong peer endorsements. Located in an acceptable location with a 60-day notice period and a responsive 91% recruiter response rate."
CAND_0000033,2,0.5060320519518855,"Brings 8.5 years of professional experience, with 5.2 years dedicated specifically to AI/ML applications. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Hirable within a 30-day notice period, based in Noida/Pune, and showing a 8% interaction rate."
CAND_0000048,3,0.49731309701160464,"A junior engineer with 9.5 years of experience, including 2.9 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Located in an acceptable location with a 120-day notice period and a responsive 65% recruiter response rate."
CAND_0000010,4,0.4902042122642638,"A junior engineer with 4.6 years of experience, including 4.6 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like vector-db and python with strong peer endorsements. A responsive candidate (40% response rate) situated in an acceptable location with 120 days notice."
CAND_0000038,5,0.486095025593533,"Brings 6.6 years of professional experience, with 0.0 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including vector-db. Hirable within a 90-day notice period, based in an acceptable location, and showing a 20% interaction rate."
CAND_0000046,6,0.48560306178888935,"Brings 7.8 years of professional experience, with 7.8 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 30-day notice period, based in an acceptable location, and showing a 41% interaction rate."
CAND_0000001,7,0.46382168936588475,"A junior engineer with 6.8 years of experience, including 6.8 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like vector-db with strong peer endorsements. A responsive candidate (34% response rate) situated in an acceptable location with 60 days notice."
CAND_0000029,8,0.45526911434149453,"Brings 7.1 years of professional experience, with 5.9 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Located in Noida/Pune with a 60-day notice period and a responsive 12% recruiter response rate."
CAND_0000020,9,0.43986278794889866,"Brings 6.2 years of professional experience, with 6.2 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. A responsive candidate (55% response rate) situated in an acceptable location with 30 days notice."
CAND_0000044,10,0.4271571232644039,"A junior engineer with 5.7 years of experience, including 0.0 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including python. A responsive candidate (66% response rate) situated in an acceptable location with 90 days notice."
CAND_0000014,11,0.411653569887036,"A junior engineer with 8.3 years of experience, including 5.6 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like vector-db with strong peer endorsements. Hirable within a 90-day notice period, based in an acceptable location, and showing a 80% interaction rate."
CAND_0000016,12,0.41119875719815435,"Demonstrates 5.2 years of engineering experience (with 4.8 years focused on ML/AI systems). Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. A responsive candidate (64% response rate) situated in an acceptable location with 60 days notice."
CAND_0000025,13,0.4111752257747934,"Brings 7.2 years of professional experience, with 6.8 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Located in an acceptable location with a 120-day notice period and a responsive 74% recruiter response rate."
CAND_0000026,14,0.3991330276248019,"Demonstrates 6.7 years of engineering experience (with 6.7 years focused on ML/AI systems). Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Located in an acceptable location with a 30-day notice period and a responsive 59% recruiter response rate."
CAND_0000032,15,0.388307473552705,"A junior engineer with 7.9 years of experience, including 2.2 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like embeddings and python with strong peer endorsements. Located in an acceptable location with a 150-day notice period and a responsive 69% recruiter response rate."
CAND_0000007,16,0.3777117555660432,"Demonstrates 5.4 years of engineering experience (with 2.2 years focused on ML/AI systems). Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Hirable within a 30-day notice period, based in an acceptable location, and showing a 62% interaction rate."
CAND_0000006,17,0.3650928247175889,"A junior engineer with 5.9 years of experience, including 3.2 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Located in an acceptable location with a 150-day notice period and a responsive 12% recruiter response rate."
CAND_0000043,18,0.3591155871795305,"Brings 8.2 years of professional experience, with 6.2 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like vector-db with strong peer endorsements. Located in an acceptable location with a 120-day notice period and a responsive 4% recruiter response rate."
CAND_0000040,19,0.359113786371017,"Brings 1.6 years of professional experience, with 1.6 years dedicated specifically to AI/ML applications. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Located in an acceptable location with a 90-day notice period and a responsive 46% recruiter response rate."
CAND_0000023,20,0.3543236995885695,"Brings 3.7 years of professional experience, with 3.7 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Located in an acceptable location with a 30-day notice period and a responsive 56% recruiter response rate."
CAND_0000017,21,0.3501861765141996,"Brings 12.2 years of professional experience, with 5.8 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 90-day notice period, based in an acceptable location, and showing a 27% interaction rate."
CAND_0000037,22,0.3465593022721762,"A junior engineer with 14.2 years of experience, including 13.0 years in applied ML/AI roles. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. A responsive candidate (78% response rate) situated in an acceptable location with 30 days notice."
CAND_0000050,23,0.34255717105261496,"A junior engineer with 13.3 years of experience, including 3.0 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 90-day notice period, based in an acceptable location, and showing a 42% interaction rate."
CAND_0000045,24,0.32790235242622945,"A director engineer with 11.9 years of experience, including 10.8 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 60-day notice period, based in an acceptable location, and showing a 62% interaction rate."
CAND_0000036,25,0.3264433968947934,"Brings 11.2 years of professional experience, with 1.5 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. A responsive candidate (40% response rate) situated in an acceptable location with 60 days notice."
CAND_0000034,26,0.3211004352059578,"A junior engineer with 14.2 years of experience, including 13.4 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 90-day notice period, based in an acceptable location, and showing a 15% interaction rate."
CAND_0000004,27,0.3163463406806651,"Demonstrates 3.7 years of engineering experience (with 2.5 years focused on ML/AI systems). Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 120-day notice period, based in an acceptable location, and showing a 26% interaction rate."
